epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8459,2.05504,4.06768,2.67139,0.00375,0.5,0.00365,0.00149,1.6885,4.01723,2.29592,2e-05,2e-05,2e-05
2,2.70473,1.98593,3.82861,2.49471,0.00375,0.5,0.00332,0.0014,1.67569,4.04202,2.30761,5.9406e-05,5.9406e-05,5.9406e-05
3,3.53698,1.89179,3.63693,2.45323,0.00398,0.5,0.00397,0.00167,1.60619,3.76207,2.24193,9.802e-05,9.802e-05,9.802e-05
4,4.45123,1.67479,3.49824,2.34017,0.00432,0.5,0.00977,0.00352,1.5626,3.61237,2.14353,0.000135842,0.000135842,0.000135842
5,5.43079,1.44849,3.25972,2.11339,0.00704,0.625,0.03016,0.01193,1.51994,3.27904,1.96356,0.000172872,0.000172872,0.000172872
6,6.44356,1.34255,2.86089,2.00414,0.08816,0.375,0.0881,0.04952,1.44151,3.07609,1.97873,0.00020911,0.00020911,0.00020911
7,7.47778,1.09489,2.57742,1.70553,0.31898,0.625,0.23523,0.13056,1.34294,2.81286,1.87745,0.000244556,0.000244556,0.000244556
8,8.60216,1.10315,2.12952,1.71211,0.30055,0.75,0.40841,0.24622,1.32726,2.38855,1.72523,0.00027921,0.00027921,0.00027921
9,9.79871,1.04979,2.03594,1.86634,0.47122,0.5,0.48138,0.30091,1.31323,2.21372,1.66576,0.000313072,0.000313072,0.000313072
10,10.986,0.91496,1.76726,1.612,0.6252,0.5,0.49318,0.33433,1.27366,2.13871,1.63157,0.000346142,0.000346142,0.000346142
11,12.2022,0.88575,1.57191,1.51273,0.63683,0.5,0.54444,0.39645,1.21387,1.99249,1.58796,0.00037842,0.00037842,0.00037842
12,13.3562,0.95763,1.69358,1.69476,0.76203,0.625,0.73261,0.47615,1.17847,1.85289,1.5885,0.000409906,0.000409906,0.000409906
13,14.4012,0.9006,1.4082,1.65835,0.94513,0.625,0.77245,0.45575,1.16975,1.76573,1.58636,0.0004406,0.0004406,0.0004406
